#               time[s]          Temperature [GK]                tau_ga [s]                tau_ag [s]                tau_ng [s]                tau_gn [s]                tau_pg [s]                tau_gp [s]                tau_np [s]                tau_pn [s]                tau_an [s]                tau_na [s]                tau_ap [s]                tau_pa [s]              tau_beta [s]             tau_alpha [s]             tau_nfiss [s]             tau_sfiss [s]             tau_bfiss [s]
 1.4892891820323113E-04    6.0357620017661340E+00    1.0427224292735832E+17    1.9974441778749877E+06    2.9722720905658143E-12    2.9722721270757874E-12    6.9921624923566706E+05    5.7608354542763722E+08    2.2459501737018995E+03    2.5678175563157413E+00    3.5060336855255656E+00    4.9622726806860555E+02    1.2254855016530826E+11    7.3930322187766003E+11    3.8028630977612502E-04    1.0427224292735832E+17    1.0427224292735832E+17    1.0427224292735832E+17    1.0427224292735832E+17
 1.5503971876656308E-04    5.9262715021473404E+00    1.0427224293636963E+17    2.0225659035715822E+06    2.7603667777658137E-12    2.7603668089426763E-12    7.3374090513314819E+05    1.3673532846167452E+09    5.3761055070983666E+03    2.7067837416940548E+00    3.4000206459266824E+00    9.5528799975927518E+02    1.3469326570621916E+11    8.4368162553130725E+11    3.8155270349509481E-04    1.0427224293636963E+17    1.0427224293636963E+17    1.0427224293636963E+17    1.0427224293636963E+17
 1.6209200608798617E-04    5.8082787877011883E+00    1.0427224295527349E+17    2.0510105355971106E+06    2.5614464194005536E-12    2.5614464458508303E-12    7.7431698590009881E+05    3.6474650546667728E+09    1.4469894250371257E+04    2.8688673657595918E+00    3.2902304168619749E+00    2.0430916192044951E+03    1.4928995665932248E+11    9.6970712754419641E+11    3.8303693196252165E-04    1.0427224295527349E+17    1.0427224295527349E+17    1.0427224295527349E+17    1.0427224295527349E+17
 1.6969635423516453E-04    5.6869861150978593E+00    1.0427224296003069E+17    2.0815494406650218E+06    2.3866419094972842E-12    2.3866419319271557E-12    8.2076768974120449E+05    1.0561062612247702E+10    4.2285744145733675E+04    3.0526486457075479E+00    3.1835560153099429E+00    4.7568708496847621E+03    1.6649896045721469E+11    1.1165188474300537E+12    3.8467319076167857E-04    1.0427224296003069E+17    1.0427224296003069E+17    1.0427224296003069E+17    1.0427224296003069E+17
 1.7699999999999999E-04    5.5719000000000003E+00    1.0427224297841365E+17    2.1108223822768051E+06    2.2495642828221256E-12    2.2495643020148549E-12    8.7060285115272470E+05    3.0594369697614723E+10    1.2360930547257281E+05    3.2476834580223448E+00    3.0881891194502202E+00    1.1363266849971626E+04    1.8572337526363641E+11    1.2743809956807595E+12    3.8629362716657508E-04    1.0427224297841365E+17    1.0427224297841365E+17    1.0427224297841365E+17    1.0427224297841365E+17
 1.8506800971803208E-04    5.4430056690845525E+00    1.0427224303957182E+17    2.1439285068577393E+06    2.1289270684137709E-12    2.1289270850033260E-12    9.3354718425953377E+05    1.0758013908166669E+11    4.3920824516674271E+05    3.4913135902613939E+00    2.9896145202467364E+00    3.2776901436703411E+04    2.1151920054621857E+11    1.4767506472801875E+12    3.8814754463854692E-04    1.0427224303957182E+17    1.0427224303957182E+17    1.0427224303957182E+17    1.0427224303957182E+17
 1.9351859979335450E-04    5.3107582799204156E+00    1.0427224304801403E+17    2.1759842522640503E+06    2.0287751687690187E-12    2.0287751831594301E-12    1.0079019721456113E+06    4.1946812645041992E+11    1.7320329971851630E+06    3.7761887011670785E+00    2.8963035517656142E+00    1.0621574593306521E+05    2.4400393309978418E+11    1.7151190190109680E+12    3.9016412001713688E-04    1.0427224304801403E+17    1.0427224304801403E+17    1.0427224304801403E+17    1.0427224304801403E+17
 2.0200000000000000E-04    5.1879999999999988E+00    1.0427224304921184E+17    2.1992647099400051E+06    1.9437358097727322E-12    1.9437358222675942E-12    1.0911609291587195E+06    1.5785541739540039E+12    6.5965095128304176E+06    4.0926774571958546E+00    2.8129761719974833E+00    3.4303510565353482E+05    2.8209515662570911E+11    1.9634056890282104E+12    3.9228010410736016E-04    1.0427224304921184E+17    1.0427224304921184E+17    1.0427224304921184E+17    1.0427224304921184E+17
 2.1093955542857281E-04    5.0747553064334454E+00    1.0427224303191362E+17    2.2099447900284054E+06    1.8609400768216952E-12    1.8609400875051299E-12    1.1890266738300116E+06    5.6433352721143701E+12    2.3905526231811535E+07    4.4630001486517727E+00    2.7350328301899642E+00    1.0875539361114923E+06    3.2791924059943921E+11    2.2110588895810259E+12    3.9463189223179907E-04    1.0427224303191362E+17    1.0427224303191362E+17    1.0427224303191362E+17    1.0427224303191362E+17
 2.1996824369446496E-04    4.9695200352935807E+00    1.0427224303387573E+17    2.2122205907294010E+06    1.7910944468481510E-12    1.7910944562376954E-12    1.2999308239991385E+06    1.9396914666600328E+13    8.3379017941043362E+07    4.8809723461941532E+00    2.6651309656266942E+00    3.4048361858565514E+06    3.8262166321891974E+11    2.4576079238958472E+12    3.9712155013411232E-04    1.0427224303387573E+17    1.0427224303387573E+17    1.0427224303387573E+17    1.0427224303387573E+17
 2.2699999999999999E-04    4.8864999999999998E+00    1.0427224303679323E+17    2.2129401500625075E+06    1.7545473487067147E-12    1.7545473574642350E-12    1.3952194082444981E+06    5.3595469767686258E+13    2.3310919957860136E+08    5.2381310711472659E+00    2.6164421821669515E+00    8.8059751961026769E+06    4.3425887882487323E+11    2.6665701033926206E+12    3.9911161772896499E-04    1.0427224303679323E+17    1.0427224303679323E+17    1.0427224303679323E+17    1.0427224303679323E+17
 2.3417910105486442E-04    4.7978237502839933E+00    1.0427224306086682E+17    2.2133975758290105E+06    1.7343478750251302E-12    1.7343478833857577E-12    1.5011967354467174E+06    1.6527112853941775E+14    7.2796955436380708E+08    5.6326569793028565E+00    2.5714737959334175E+00    2.5343175280966908E+07    4.9834106426223206E+11    2.9151613635712974E+12    4.0118371931208152E-04    1.0427224306086682E+17    1.0427224306086682E+17    1.0427224306086682E+17    1.0427224306086682E+17
 2.4406913322933720E-04    4.6752113866826592E+00    1.0427224308939674E+17    2.2081308930048663E+06    1.7267460676633713E-12    1.7267460755669764E-12    1.6628995128693180E+06    8.3592366193747775E+14    3.7652088972339082E+09    6.2304071021512692E+00    2.5163835672598371E+00    1.1750977958378835E+08    6.0847190539689246E+11    3.2989599933092832E+12    4.0412398038796492E-04    1.0427224308939674E+17    1.0427224308939674E+17    1.0427224308939674E+17    1.0427224308939674E+17
 2.5413775305803741E-04    4.5572893835826953E+00    1.0427224313901979E+17    2.1916609923835262E+06    1.7326188633730561E-12    1.7326188708862419E-12    1.8476254212478015E+06    4.1700294405352710E+15    1.9725316119165180E+10    6.9095868920847696E+00    2.4674210926632281E+00    5.5639372938623095E+08    7.4963847572352783E+11    3.7072040773097749E+12    4.0724391375138457E-04    1.0427224313901979E+17    1.0427224313901979E+17    1.0427224313901979E+17    1.0427224313901979E+17
 2.6547170261287753E-04    4.4354218245767276E+00    1.0427224319336277E+17    2.1609361848193831E+06    1.7525867612036881E-12    1.7525867685546055E-12    2.0788665970947836E+06    2.0611232868241708E+16    1.1870951690035374E+11    7.7563894313635586E+00    2.4202615369260756E+00    3.0121792952287822E+09    9.4845423983036975E+11    4.1523428749084600E+12    4.1088697018636133E-04    1.0427224319336277E+17    1.0427224319336277E+17    1.0427224319336277E+17    1.0427224319336277E+17
 2.7684178830940734E-04    4.3168627179616301E+00    1.0427224323168840E+17    2.1174771037624055E+06    1.7936275636631396E-12    1.7936275705782114E-12    2.3517980381533182E+06    6.2819473673681608E+16    7.4285136142053979E+11    8.7504337687748066E+00    2.3781434285010290E+00    1.6949136057647257E+10    1.2182611481615657E+12    4.6081534763097783E+12    4.1473561013261566E-04    1.0427224323168840E+17    1.0427224323168840E+17    1.0427224323168840E+17    1.0427224323168840E+17
 2.8125972290534633E-04    4.2698405854824442E+00    1.0427224323742742E+17    2.0964158023120952E+06    1.8175771472127668E-12    1.8175771538337285E-12    2.4761022275842214E+06    7.9409940125751584E+16    1.5764409090337642E+12    9.2010626572763492E+00    2.3624401709654697E+00    3.4473282058247719E+10    1.3546543743008706E+12    4.7993796366150137E+12    4.1631166170102849E-04    1.0427224323742742E+17    1.0427224323742742E+17    1.0427224323742742E+17    1.0427224323742742E+17
 2.9018194461506415E-04    4.1738506135116298E+00    1.0427224327064978E+17    2.0464806223830904E+06    1.8810119104591283E-12    1.8810119168742839E-12    2.7633800034697913E+06    9.7884780844920800E+16    7.6664957879709873E+12    1.0238354887037175E+01    2.3321578663451619E+00    1.5323829676821887E+11    1.7028475882004004E+12    5.2076357325211797E+12    4.1963103846880101E-04    1.0427224327064978E+17    1.0427224327064978E+17    1.0427224327064978E+17    1.0427224327064978E+17
 2.9872844255335155E-04    4.0861669202381172E+00    1.0427224326758163E+17    1.9923159693407288E+06    1.9541302030439330E-12    1.9541302099552301E-12    3.0717953642374421E+06    1.0275549010508272E+17    3.4300508610509395E+13    1.1347985200524910E+01    2.3065348664812455E+00    6.2573274625679602E+11    2.1264801054018206E+12    5.5966277121195713E+12    4.2290399495860750E-04    1.0427224326758163E+17    1.0427224326758163E+17    1.0427224326758163E+17    1.0427224326758163E+17
 3.0631169322776195E-04    4.0167940085568823E+00    1.0427224329673691E+17    1.9431252024243011E+06    2.0198655850736630E-12    2.0198655929796788E-12    3.3546353321663351E+06    1.0381786561032656E+17    1.1625911190229581E+14    1.2364538833103094E+01    2.2874830665758918E+00    1.9509151927289614E+12    2.5567550760355039E+12    5.9077782412474492E+12    4.2579955436943895E-04    1.0427224329673691E+17    1.0427224329673691E+17    1.0427224329673691E+17    1.0427224329673691E+17
 3.1629090913269078E-04    3.9381163833139148E+00    1.0427224340517182E+17    1.8795162163253997E+06    2.1023073042683948E-12    2.1023073132367172E-12    3.7331768235288444E+06    1.0418156972583560E+17    4.8183300511052250E+14    1.3726360167164646E+01    2.2668008907879149E+00    7.2393885348241357E+12    3.1855408005621216E+12    6.2267453855261787E+12    4.2956242849119568E-04    1.0427224340517182E+17    1.0427224340517182E+17    1.0427224340517182E+17    1.0427224340517182E+17
 3.2676702268879631E-04    3.8562643348184666E+00    1.0427224356617582E+17    1.8063526776295274E+06    2.2107533826650332E-12    2.2107533919586638E-12    4.1822658658995191E+06    1.0425352652951717E+17    2.2005959849965428E+15    1.5335514110660720E+01    2.2476428203078647E+00    2.9468032897665246E+13    4.0389837248655239E+12    6.5491273582229707E+12    4.3359753707991101E-04    1.0427224356617582E+17    1.0427224356617582E+17    1.0427224356617582E+17    1.0427224356617582E+17
 3.3613006678177740E-04    3.7730719899413243E+00    1.0427224376962632E+17    1.7256487543111038E+06    2.3580379979056308E-12    2.3580380073637726E-12    4.6820228228509706E+06    1.0426856575165619E+17    1.0296573471783524E+16    1.7110359794995514E+01    2.2313315799174775E+00    1.3006591675852505E+14    5.1681301842172041E+12    6.8848853042375176E+12    4.3740042636083277E-04    1.0427224376962632E+17    1.0427224376962632E+17    1.0427224376962632E+17    1.0427224376962632E+17
 3.4642314260886319E-04    3.6783455580502413E+00    1.0427224415738606E+17    1.6224047964085769E+06    2.5670547534817478E-12    2.5670547646738682E-12    5.3317024825062472E+06    1.0427215887611458E+17    4.4824049591068664E+16    1.9403008422906066E+01    2.2154243034565564E+00    7.4620182892207338E+14    6.9045081231885732E+12    7.2439729638519951E+12    4.4171233204712875E-04    1.0427224415738606E+17    1.0427224415738606E+17    1.0427224415738606E+17    1.0427224415738606E+17
 3.5786958836767129E-04    3.5851290676964611E+00    1.0427224494994614E+17    1.5044891263986423E+06    2.8103566545298711E-12    2.8103566699739091E-12    6.0940902347911699E+06    1.0427222059840746E+17    8.8069267742569360E+16    2.2088138009130422E+01    2.2017157217777403E+00    4.2514180809902300E+15    9.2798208978234824E+12    7.5223779457555693E+12    4.4642499014564387E-04    1.0427224494994614E+17    1.0427224494994614E+17    1.0427224494994614E+17    1.0427224494994614E+17
 3.7202237696491893E-04    3.4864228389960310E+00    1.0427224675091845E+17    1.3583240551217799E+06    3.1148193046975824E-12    3.1148193243379343E-12    7.0662172657665145E+06    1.0427224045529131E+17    1.0214605466144256E+17    2.5509534448527923E+01    2.1907781894350102E+00    2.3751545189430120E+16    1.2816216969746031E+13    7.6844445275120859E+12    4.5208892963056883E-04    1.0427224675091845E+17    1.0427224675091845E+17    1.0427224675091845E+17    1.0427224675091845E+17
 3.8057891421893890E-04    3.4238838093097947E+00    1.0427224882790931E+17    1.2526940128701695E+06    3.3512414928072136E-12    3.3512415129546212E-12    7.7993742480090782E+06    1.0427224614776341E+17    1.0376577090591634E+17    2.8078428361701349E+01    2.1887542304074747E+00    5.3605289640796704E+16    1.5866005881433275E+13    7.6836435922713701E+12    4.5566342238901545E-04    1.0427224882790931E+17    1.0427224882790931E+17    1.0427224882790931E+17    1.0427224882790931E+17
 3.9097868477377886E-04    3.3406954801064961E+00    1.0427225389963024E+17    1.0925272121305952E+06    3.7317185122403203E-12    3.7317185353942665E-12    8.9491718248997238E+06    1.0427225307080488E+17    1.0420246370200878E+17    3.2086459229852110E+01    2.1927212245494783E+00    8.9802996000765728E+16    2.1299638446469898E+13    7.5870770956875576E+12    4.6024785359904561E-04    1.0427225389963024E+17    1.0427225389963024E+17    1.0427225389963024E+17    1.0427225389963024E+17
 3.9961117897862659E-04    3.2743823621486658E+00    1.0427226131715123E+17    9.4808480799109477E+05    4.0885696592702184E-12    4.0885696894408339E-12    1.0037377860342287E+07    1.0427226100539130E+17    1.0425849181721602E+17    3.5870668195524345E+01    2.2023848788877327E+00    1.0053444489266982E+17    2.7092192260295367E+13    7.4128969879866064E+12    4.6405607976086319E-04    1.0427226131715123E+17    1.0427226131715123E+17    1.0427226131715123E+17    1.0427226131715123E+17
 4.0893550804840437E-04    3.2141081066672652E+00    1.0427227292107606E+17    8.0454035149248329E+05    4.4512111472044165E-12    4.4512111884663213E-12    1.1196145465088451E+07    1.0427227279746907E+17    1.0426993638929006E+17    3.9905455941879062E+01    2.2134631617479252E+00    1.0329820303518134E+17    3.3762790175270945E+13    7.1529873571866348E+12    4.6797966177584819E-04    1.0427227292107606E+17    1.0427227292107606E+17    1.0427227292107606E+17    1.0427227292107606E+17
 4.2022570667596632E-04    3.1525601198365312E+00    1.0427229298793557E+17    6.5531503417389432E+05    4.8638460321504088E-12    4.8638460844504984E-12    1.2592299661551202E+07    1.0427229294187445E+17    1.0427180288163098E+17    4.4777194215304775E+01    2.2400579096955222E+00    1.0404042912694392E+17    4.2346376246667938E+13    6.8261277249694883E+12    4.7254642388409299E-04    1.0427229298793557E+17    1.0427229298793557E+17    1.0427229298793557E+17    1.0427229298793557E+17
 4.3126237862828207E-04    3.0915039216044162E+00    1.0427232545879534E+17    5.2029844147135603E+05    5.3411572828935215E-12    5.3411573438086383E-12    1.4183085159978647E+07    1.0427232544259435E+17    1.0427222935199410E+17    5.0312302877290136E+01    2.3127297227574735E+00    1.0422017433933797E+17    5.2894991434122047E+13    6.5610993356287012E+12    4.7704664000404099E-04    1.0427232545879534E+17    1.0427232545879534E+17    1.0427232545879534E+17    1.0427232545879534E+17
 4.4231195617000632E-04    3.0263580737283142E+00    1.0427238267539288E+17    3.9486127815931733E+05    5.9430414693895543E-12    5.9430415447062611E-12    1.6128668913363352E+07    1.0427238267048373E+17    1.0427237032207941E+17    5.7053022207537296E+01    2.4488798381308592E+00    1.0426265890769714E+17    6.6560083468426562E+13    6.3537783351753340E+12    4.8163328197587540E-04    1.0427238267539288E+17    1.0427238267539288E+17    1.0427238267539288E+17    1.0427238267539288E+17
 4.5344204018940467E-04    2.9611971323050934E+00    1.0427247690903176E+17    2.9247750321841106E+05    6.6501891617013950E-12    6.6501892585263519E-12    1.8419225798696853E+07    1.0427247690767042E+17    1.0427247484966157E+17    6.4970378983133358E+01    2.6759649202409466E+00    1.0427083231661981E+17    8.2357893703198438E+13    6.2416465138436260E+12    4.8623911538549241E-04    1.0427247690903176E+17    1.0427247690903176E+17    1.0427247690903176E+17    1.0427247690903176E+17
 4.6184428671546446E-04    2.9127831808797202E+00    1.0427257988834152E+17    2.3345035044200777E+05    7.2548549051787891E-12    7.2548550214488753E-12    2.0389773067115579E+07    1.0427257988785234E+17    1.0427257956579203E+17    7.1769840793132602E+01    2.9481729711813656E+00    1.0427214760218755E+17    9.4552282440559000E+13    6.2903992072167891E+12    4.8969673123882391E-04    1.0427257988834152E+17    1.0427257988834152E+17    1.0427257988834152E+17    1.0427257988834152E+17
 4.7379584044584416E-04    2.8456221746350359E+00    1.0427278642950251E+17    1.7162030931250236E+05    8.2262926010360316E-12    8.2262927544541746E-12    2.3601630208531503E+07    1.0427278642939614E+17    1.0427278642549709E+17    8.2836772789974646E+01    3.5381994844135467E+00    1.0427273215010811E+17    1.0926346273307027E+14    6.5933503933914961E+12    4.9458574669785532E-04    1.0427278642950251E+17    1.0427278642950251E+17    1.0427278642950251E+17    1.0427278642950251E+17
 4.8199815749475988E-04    2.8036933453625754E+00    1.0427296831550056E+17    1.4127722224271888E+05    8.9191372100612929E-12    8.9191373959935859E-12    2.6031386535775706E+07    1.0427296831550056E+17    1.0427296831425710E+17    9.1216464784764682E+01    4.0705377171171708E+00    1.0427295537118030E+17    1.1485232665479316E+14    6.9068305145303838E+12    4.9789129723842136E-04    1.0427296831550056E+17    1.0427296831550056E+17    1.0427296831550056E+17    1.0427296831550056E+17
 4.9414520376055095E-04    2.7494727721791525E+00    1.0427329110123496E+17    1.0886222789449462E+05    9.9260931639821295E-12    9.9260934007301566E-12    2.9906255149262201E+07    1.0427329110123496E+17    1.0427329110097091E+17    1.0461239698500790E+02    5.0243668061496995E+00    1.0427328938372424E+17    1.1367617009126023E+14    7.4547644494429893E+12    5.0269446564340137E-04    1.0427329110123496E+17    1.0427329110123496E+17    1.0427329110123496E+17    1.0427329110123496E+17
 5.0400000000000000E-04    2.7040000000000002E+00    1.0427359831567619E+17    9.1695098960984178E+04    1.0898600380060919E-11    1.0898600662354040E-11    3.3616562877077527E+07    1.0427359831567619E+17    1.0427359831560859E+17    1.1741025309446832E+02    6.3550762151223159E+00    1.0427359786474298E+17    1.0925881941886330E+14    8.4129096576198047E+12    5.0659025964722854E-04    1.0427359831567619E+17    1.0427359831567619E+17    1.0427359831567619E+17    1.0427359831567619E+17
 5.1299659212259677E-04    2.6557829448324437E+00    1.0427391858584734E+17    8.1484619250836462E+04    1.2089317579203696E-11    1.2089317922381511E-11    3.7825650479542308E+07    1.0427391858584734E+17    1.0427391858583275E+17    1.3185101581406826E+02    8.6482148259049367E+00    1.0427391857251707E+17    1.0934440162584611E+14    1.0197708310964924E+13    5.1019281430002077E-04    1.0427391858584734E+17    1.0427391858584734E+17    1.0427391858584734E+17    1.0427391858584734E+17
